	names	category_names	prices	notCorrect
0	布魯斯全新304不鏽鋼十字扁平頭螺絲M2x5mmM25	其他緊固件	1	0
1	SUZUKI越野摩托車機車騎士騎行帽棒球帽賽車帽鴨舌帽露天拍賣	其他	200	0
2	CardMasterIKO依克黎洛格凌群系_RaugrinTriome中英日	魔法風雲會	400	0
3	SFC日版SUPERGAMEBOYＧＢ外盒破損41455128		130	0
4	買一送一跳跳球閃光跳小孩男孩女孩跳環圈單腿蹦蹦甩腳球兒童玩具	其他	86	0
5	老羊樂器店開發票可彎折A型架摺疊架吉他架烏克麗麗架電吉他架樂器架吉他配件	吉他配件	250	0
6	小米家-現貨ZMI紫米官網商品ZMI10000mAh雙向快充移動電源高配版，18W雙向快充雙口輸入輸出	其他家電	635	0
7	樂遊玩具批發FZERO海賊王超激戰三大將波魯薩利諾黃猿現貨	其他	1350	0
8	桌球孤鷹YASAKAYEO中直馬琳yeo新貨到	桌球拍	1290	0
9	G1DS13-JPL42托勒密梅西耶M7星聖金亮	遊戲王	30	0
10	正原廠PanasonicCR2330CR1025BR1225替代CR1225松下CR002	Panasonic 國際	40	0
11	南極人涼席冰絲席三件套雙人可機洗可折疊席冰絲涼蓆涼感床墊空調軟席加大冰絲涼蓆卡通提花折疊冰絲涼席透氣	其他蓆類	261	0
12	全新現貨原價290佛教的法器ISBN:957825489X│全佛	佛教	246	0
13	馬亞卡鋪-日紙SD40-JP027冰結界的晶壁普卡碎鑽	遊戲王	5	0
14	ALG卡牌專門MIC黯夜獵蹤指揮官ProwlingGeistcatcher流蕩遊魂捕捉客英日文擴圖	魔法風雲會	30	0
15	創見DDR3160015V4GX2=8G雙面顆粒,桌上型2隻4G共8G一次標面交三峽地區	DDR3 SDRAM	400	0
16	廠家直銷水滴型矽膠義乳偽娘變裝義乳術後義乳仿真假乳房假胸	道具、飾品配件	398	0
17	５號雜貨屋＊現貨16U型支架12吋用B款芭比肯尼可用	支架.地台	80	0
18	魅影防摔保護殼SamsungGalaxyA8201856吋支架手機殼	A、M、N系列	190	0
19	現貨供應日本空運日本全家限定數量限定至福的時刻-小巧克力派贅x06ca2;的奶油焦糖風味	其他	170	0
20	364430C倉庫無源調音板前級板前置板高低調節音調板HIFI發燒級成品W313-191210364430	其他	48	0
21	正品JoMalone祖馬龍香薰蠟燭祖瑪瓏藍風鈴英國梨香氛200g禮盒裝	香爐、香品	1650	0
22	茗若居普洱茶2015年福鼎恒順昌茶葉有限公司魅粒芊芊白牡丹巧克力型白茶磚精美盒裝單磚100公克	普洱茶	200	0
23	鬧鬧WS單卡部FdyW65-035C富士見Fantasia文庫卡片卡牌收藏卡	其他紙牌遊戲	15	0
24	月界二手書店總裁愛上嬌妻－原書名：疼妳七年如一日絕版_莫霖_龍吟_口袋小說_自有書_原價49　x03016;言情小說x03017;CHW	其他	29	0
25	脫坑絕版含運現貨ThreezeroROBOCOP機器戰警–ROBOCOP30機器戰警30版Ver	Three A	5000	0
26	V1912好想自己做衣服吳玉真著愛生活2017年	古書善本	240	0
27	橡皮擦	其他	100	0
28	通販代購武士道ECBanGDream合同LIVE壓克力立牌Poppin’Party單售可挑款0312	精品配件	740	0
29	汽車座椅收納盒縫隙儲物盒置物袋盒垃圾跨境車載儲物箱皮革水杯架GC-TOP	其他汽車精品	364	0
30	T2762日本寫真x030ca;x030c4;x030cf;x030eb;x030ca;！　荒井暖菜	日本	30	0
31	AC110220V無線遙控開關遠距離水泵電燈具大功率遙控開關	電子電工工具	160	0
32	幼幼班草莓苗草莓種子日本-奈良-古都華草莓特價一份30粒	種子、球根	60	0
33	醬小屋遊戲王DBGI-JP026龍輝巧天棓四γ普卡	遊戲王	3	0
34	艾思黛拉A0094現貨DP轉VGAdisplayporttoVGA轉換器轉接頭	螢幕線	129	0
35	中古良品DeAGOSTINI172第二次世界大戰傑作機_No97德國空軍Fw190A日本陸軍輸入機	軍用機	580	0
36	蔬菜之家G42巧克力甜椒種子3顆美國進口種子巧克力色,可當料理或擺設	種子、球根	12	0
37	日版刀劍神域劇場版序列爭戰晴空塔限定吊飾立牌亞絲娜尤娜西莉卡莉茲	其他	102	0
38	萬金喵二手書店全新書CanonEOS7DMarkII數位單眼相機完全解析尖端R11HKCC2	攝影	250	0
39	WB-2467日本無修正無毛／巨乳／成x0702c;祥子什麼都做的巨乳家政婦	日本	30	0
40	義大利Proraso刮鬍泡綜合賣場	其他	350	0
41	日版Robot魂聖約鋼彈	機動戰士鋼彈	2000	0
42	TypeC全兼容快速充電線6A200公分快充充電線閃充傳輸線全系統支援數據線快充線E04A6	其他品牌	390	0
43	平井涼子日本制英國DAKS10D包芯絲高透膚絲襪151-1002	絲襪	250	0
44	滑鼠墊超大號快捷鍵大全電腦辦公邊桌墊學生寫字邊桌面鍵盤墊女快速出貨露天拍賣	其他電腦周邊設備	226	0
45	瘦子不要看x1f369;最大120公斤x1f49f;圓舞曲不作假大尺碼x1f49f;青澀歲月回到初戀學生服水手服x1f49f;加大尺碼制服誘惑角色扮演大碼性感睡	其他	388	0
46	HC-SR04超聲波模組測距感測器距離感測器支持Arduino51STM32210-03819	其他	40	0
47	HP240TPN-110514吋雙核筆電零件機詳看敘述	14吋	600	0
48	INTOPIC廣鼎JAZZ-TWE21超薄型真無線藍牙耳麥富廉網	無線耳機	799	0
49	現貨3本39包郵屢次想起的人沈大成腦洞超現實短篇小說書籍小行星掉在下午熱銷	其他	158	0
50	伊伊小舖ESTEELAUDER雅詩蘭黛特潤超導修護露7ml無盒裝單瓶特價199元	保濕精華液、露	199	0
51	川大泵浦鶴見牌50UT24S12HP渦流型污物泵浦不阻塞泵浦	其他機電五金	3900	0
52	HAPPY夏普遊戲王VB20-JP001五重魔術師金亮	遊戲王	500	0
53	快易購GHK-M4GBB專用彈匣含彈嘴出氣橡皮原廠零件M4-M-04	其他合法改裝套件	150	0
54	魚干書坊文學西夏旅館：上下駱以軍印刻初版	文學小說	640	0
55	KK代購空運預購LoveLiveAqoursVillageVanguard合作娃娃	國際代購/代買	535	0
56	代售幽游白書炎之絆彩色漫畫東立自有書	動作冒險	700	0
57	宅av※歐美精選系列※_E09848_CorruptSc	歐美	30	0
58	改變人生的綜合免疫力小野9787201163840台灣高教簡體書	人際關係	299	0
59	遇見好物車載手機架導航支架樂益車載手機支架中控臺粘貼吸盤式橫豎出風口通用型旋轉卡扣支架	支架	299	0
60	現貨免運不用等日本美乳乳交自慰器人x06c17;繪師生感触C罩杯柔軟美乳-672120∴縱情密碼∵	半身型	1360	0
61	BRISK純銀芯火星塞AR10ZSCR9EAR12ZSCR7ECR8E	火星塞	850	0
62	全新現貨變形金剛卡通版G1MP-52MP52驚天雷雷公裂雷天王星20可動完成品	變形金剛	5499	0
63	迷你電腦桌簡約現代書桌經濟型小臺式辦公桌可移動雙層桌子家用	電腦椅	3990	0
64	HGUC1144吉姆GM鋼彈系MK2聯邦軍通用火箭筒	機械科幻	80	0
65	可超商付款販售愛情騰訊100Q弊QQ弊花樣直播小說文學網會員音樂充值儲值代充	其他	490	0
66	LMH6643LMH6643MALMH6643MAXSOP8封裝滿包郵全新原裝熱賣218-02330	其他	10	0
67	animate限定套組代購21090689世界計畫彩色舞台feat初音未來公式VisualFanBook特典磁鐵	畫冊	2100	0
68	高級鼠龍全套	其他	100	0
69	鹽羅王LAISANG賴桑系列30ml小油大油	其他	600	0
70	全新THEIDOLMSTER偶像大師SQ島村卯月公仔SQ景品	日本景品	300	0
71	NDS日版GAME薩爾達傳說：夢幻沙漏42033592	其他類型	120	0
72	玩具總動員樂高LEGO美高MEGABLOKS戰隊DPG69神偷奶爸小小兵特殊造型積木公仔騎士裝甲奴才五佰九十一元起標	套裝盒組	591	0
73	大謙我的少女時代那美好純真的少女時代青春總會因為一個人開始閃閃發亮！台灣正版二手DVD	愛情文藝	30	0
74	KenBarbieFBD63_動畫系列芭比娃娃_2017芭比與魔法海豚-芭比	娃娃 	450	0
75	DVD賣場綜藝節目志村大爆笑1987年	電視劇	980	0
76	藍海貴妻不好當全5冊白辛月球球二手書愛情小說I05	其他愛情小說	75	0
77	SD騎士鋼彈黃金神話13集完星野龍一	其他漫畫	1800	0
78	翔準軍品AOGFMA夜視鏡座黑墨魚干頭盔零件MICH頭盔夜視鏡架TB940-BK	其他軍用裝備、配件	160	0
79	2021全新電池Yuasa湯淺機車電瓶YTX4L-BS，同GTX4L，KTX4L同規格，50CC等機車可用	電池	355	0
80	楊媽媽x0306e;手工店芒果青六罐一組	其他食品	900	0
81	古今書廊二手書店中共海軍與能源安全isbn:97898630313673││國防部│九成新	軍事、國防	44	0
82	爆款客製50D高密度海綿泡棉訂製沙發墊子定做加硬加厚布藝飄窗墊紅木坐墊實木	其他	100	0
83	現貨JCWings1200空中巴士超級大白鯨BelugaA330-700LF-WBXL限量優惠	民航機	2930	0
84	挖寶二手片-Y109-070-正版DVD-電影露西亞離開之後-泰莎依亞小孔薩羅維加塔瑪拉亞茲貝直購價	劇情	50	0
85	刑事訴訟法研析下作者：黃博彥黎律師-----2本免運費任買5本再折扣50元	國家考試	515	0
86	暖風機取暖器冷熱兩用110V專用省電暖風機搖頭取暖器家用浴室烘衣速熱電暖氣片立式冷暖兩用風扇電熱取暖器免運	暖風機	799	0
87	新娘皇冠頭飾皇冠髮飾凡妮莎新娘飾品歐式奢華黑鑽皇冠新娘頭飾新娘髮飾婚紗禮服配件	頭飾	490	0
88	正品買二送一酸棗仁丸酸棗仁膏百合草本膏茯苓睡眠茶助眠失眠深度睡眠安神膏安神助眠保健食品零食家	其他食品	320	0
89	icshopping_com橋式2A800V圓形2W08M3680107000096	其他	5	0
90	FordNEWKUGASTLine原廠手機無線充電止滑墊FocusMK4通用更好用	其他汽車百貨	280	0
91	古今書廊二手書店因為想你所以寂寞草莓甜心李盈儀│匯展│八成新9789869344111	其他	250	0
92	好管家食品級硅膠油刷披烙餅燒烤蛋糕廣式月餅油刷子烤箱工具家用一杯酒	其他	229	0
93	廠家直銷骨架油封TC324042434445474850525781012	其他	205	0
94	24H出貨精密陶瓷鑷子耐高溫夾持鑷子耐酸鹼腐蝕絕緣維修夾持工具黑色柄陶瓷鑷子陶瓷夾直尖頭彎頭抗氧化	其他五金工具	79	0
95	台聖出品–熱帶雨DVD–楊雁雁、許家樂、李銘順主演–全新正版	其他電影	269	0
96	美津濃MIZUNO最新上市排球鞋羽球鞋WAVELIGHTNINGZ6型號V1GA20002532	羽球鞋	2580	0
97	台中黑殿戰魂BS鋼彈CB13-040AEUx030a4;x030ca;x030af;x030c8;x0ff3b;x030c7;x030e2;x030ab;x030e9;x030fc;x0ff3d;C	其他紙牌遊戲	20	0
98	藍光BD-屍變TheEvilDeadBD-50G-恐怖經典中的經典	劇情	630	0
99	橡膠警示柱PU彈力柱塑料反光柱停車樁警示樁道路隔離樁	其他	90	0
100	連體彈性半包椅子套電腦椅罩凳子套辦公椅扶手套罩加厚松緊扶手套電腦轉椅辦公室椅子彈力把手套	其他家庭雜貨 	173	0
101	現貨角川畫冊C98Re:從零開始的異世界生活ArtFanBook2020春愛蜜莉雅艾姬多娜雷姆	其他	600	0
102	Ordnance12GEARSECTOR鋼製QD背帶環組	槍背帶/槍托	200	0
103	度度鳥超清新水性色鉛筆隨手畫10000例大全｜療癒你的生活無極限│碁峰│飛樂鳥工作室│全新│定價：299元	插畫	236	0
104	葛莉絲襪舖棉質白色黑色紅色膝上襪大腿襪長統襪棉襪，cosplay絕對領域女僕必備，不透膚款	長襪	95	0
105	窗簾免打孔安裝臥室遮光布簡易陽臺遮擋成品2021年新款出租屋房大哈小鋪	其他	178	0
106	啟元唱片劉若英RENE聽說有紙盒小冊一處輕微細紋	女歌手	238	0
107	滿300出貨88級六角螺母129級發黑螺絲帽高強度螺帽M2M3M4M5M6M8M10M12M36	其他五金工具	14	0
108	日韓創意草莓牛奶蘋果XSMaxiphoneXR678plus手機殼	手機保護殼	348	0
109	性感蕾絲眼罩遮光害羞眼罩誘惑SM調情綑綁手銬情趣用品神祕嫵媚激情綁手手圈情人節特殊節日刺激男朋友B14	眼罩/眼貼	90	0
110	UZ文具批發中心DIY釹鐵硼強力磁鐵小筒1入長15寬15厚度25mm＊全省配送	磁鐵	35	0
111	機動戰士鋼彈桑1-6官方FANBOOK俗語新解鋼彈桑共8本大和田秀樹角川八成新、無劃記、無章釘、Z2808	其他漫畫	560	0
112	現貨135ACADEMYUSMEDIUMTANKM3LEE坦克13206	軍事車輛	770	0
113	小荳樂高LEGO深灰色1x2x5磚塊顆粒積木Brick42110752454	零件、配件	8	0
114	音響倉庫JCT台灣設計製造卡拉OK擴大機OK-979光纖同軸180W	綜合擴大機	9800	0
115	夢軍團多樣現貨日版AC2逸遊團Re:從零開始的異世界生活動漫桌墊卡墊艾姬多娜	收集卡	1600	0
116	全新直插電解電容50V330UF330UF50V1017MM1017179-02468	其他	2	0
117	小晴-覆面系NOISE1-11F1出租二手書│東立少女系列｜福山遼子	校園少女	260	0
118	汽車配件專用于09-12款老款RAV4改裝專用門碗裝飾亮條碳纖紋貼片門把露天拍賣	其他汽車百貨	745	0
119	高雄老宋牛肉麵台灣紀念票紀158C158蔣總統逝世週年紀念郵票2元信銷票2台灣屏東全戳美品	台灣郵票	15	0
120	FC日版GAME盒裝迷宮塔41820292	其他類型	200	0
121	仿真按摩棒A片巨星-Thor索爾超擬真海綿體觸感69吋粗大陽具強力吸盤活動關節	膚質擬真	400	0
122	東立DNA1-5全桂正和頭大大-漫畫八05AR2	科幻	150	0
123	工具屋含稅國光白鐵丁雙3×12mm304白鐵心單片售價不銹鋼鉸鏈後鈕活頁鉸鍊木門	其他五金工具	38	0
124	東京熱全台最大正版店日正版DVDRBD-999小泉x03072;x0306a;x0305f;◆新卒x03067;入社x03057;x03066;以x06765;x0305a;x03063;x03068;可愛x0304c;x03063;x03066;x0304d;x0305f;部下x0306b;x0604b;人x0304c;出x06765;x0305f;	日本	450	0
125	含稅開發票EDIMAX訊舟EW-7438RPnAirN300Wi-Fi無線訊號延伸器WiFi延伸加強	電競滑鼠	599	0
126	電之光朝日光電LED牛奶燈絲燈泡65W等同60W鎢絲燈泡燈泡色E27	燈泡、燈管	199	0
127	牌塔WSLSSW45-085C小原鞠莉LoveLiveSunshineAquors紙牌	其他紙牌遊戲	10	0
128	CardTube卡族4070915FOTB-JP018遊戲王銀普卡∼天空之使者傑拉迪亞斯	遊戲王	10	0
129	內褲男三角褲超薄全透明冰絲潮流個性騷透氣3D無痕U凸速干短褲衩	三角褲	49	0
130	冰桶玻璃保溫紅酒啤酒冰桶家用KTV酒吧大小號歐式冰塊香檳桶冰粒桶	其他	407	0
131	現貨保險絲取電器無端子款	其他汽車百貨	10	0
132	跩哥用碟盤	其他	1600	0
133	≡鋼彈王≡3M02600夭壽細海棉砂紙12001500SandingSpongeMicrofine	組裝、修補工具	40	0
134	熱銷可開發票x1f387;牙縫自補門牙牙縫補神器填充無縫臨時牙齒假牙門牙縫自補自己補牙	其他	134	0
135	oppowatch保護套oppo手錶保護殼watch保護套41mm殼全包透明防摔46mm保護套TPU保護殼	其他	259	0
136	日本TamaToys＊白濁本x06c17;汁膣內分泌潤滑-600ml	潤滑液	298	0
137	初花農場造型壽娘子35吋盆盆景----定價240特價200	花苗、樹苗	200	0
138	逸嵐－羽毛魚翅／600g／滿1800免運／上等魚翅／羽毛翅／魚翅／送禮／年菜／熬湯／年節禮品／禮盒／冷凍食品／海鮮	魚	699	0
139	SKY台灣GS統力GTX7ABS7號機車專用密閉型電池電瓶	其他機車零組件	470	0
140	平山液晶維修全新HERANHD-42DC1液晶電視LED燈條6922L-0016A保固3個月	電視維修零組件	400	0
141	統計學的思路理論與應用黃旻華五南9789571193519書況佳2017年初版8G多二手書	大專、大學用書	300	0
142	日本販賣通代購BEBOYGOLD2022年2月號封面特集:山根綾乃	期刊、雜誌	330	0
143	綠專家-實驗室化學器材專賣-NIKOO拭鏡紙50張包	其他	50	0
144	二手免運日版wiifit平衡板已測已清潔自用少用附保護套	控制器、周邊配備	1000	0
145	漢斯模型餘量5月預約免訂金Phat少女前線STAR-15PVC	其他	5280	0
146	日版＊ANIPLEX＊萬聖節紙膠帶全7款單售迪士尼扭曲仙境2112月發售1107	其他	300	0
147	高雄店面好市多kguard廣盈科技DIY2T硬碟8路主機200萬畫數監視器套裝組7支攝影機保固一年	監控攝影機	10900	0
148	HPG42零件機	其他	300	0
149	蘇軾思想研究	其他	280	0
150	iPhone13iPhone13ProMax韓國RingkeONYX防撞手機殼軍規保護殼防摔皮套	手機保護殼	499	0
151	sm穿戴陽具超大粗假陰莖女用品肛塞內褲男用自慰器外出成人性工具包裝隱秘	其他	299	0
152	自行車後座墊加厚帶靠背山地車載人貨架座墊防水兒童座椅扶手後置	其他	450	0
153	年盈水超市飲水機專用冰溫熱上半部金屬水龍頭，每一個250元	其他廚房小家電	250	0
154	日韓服飾=夏季防曬衣女洋氣漏肩雪紡衫印花外套名族風外搭披肩薄款=防曬衣外套夾克飛行衣風衣夏季防紫外線	防風外套	93	0
155	RELX悅刻正品店煙彈一代一盒3入台灣現貨SP2S口味齊全尼古丁大煙油小煙油	其他	290	0
156	萬隆達遊戲王SD33-JP003海洋歸檔員亮面	遊戲王	10	0
157	^^上格生存遊戲^^HNSniperMagnum55mm250入鉛彈喇叭彈	BB彈/彈匣	450	0
158	教育心理學現代心理學-張春興著-2本159元-整套書籍→無打折	大專、大學用書	159	0
159	液態矽膠睡眠耳機入耳式有線舒適無痛睡覺專用側睡適用華為oppo不壓耳隔音降噪高音質type-c耳塞式Remax	其他	360	0
160	保留	合輯或其他	10	0
161	小海豚電動車改裝電動自行車電機高速電機24v250w電機MY1025	其他零組件	690	0
162	裸鑽夾裸石夾短夾	金工、蠟雕用品	100	0
163	PS日版GAME恐怖校園再會　探索編41571910		550	0
164	書影集散1輯6折360台灣文學有聲冊拋荒的故事第二輯2CD書	其他	360	0
165	適用GV-N640OC-2GIGTX550TiN550D5-1GIGTX650Ti顯卡風扇星達	其他筆電周邊	300	0
166	威廉x030fb;歐康納幻獸藝術誌龍族百科中文版	圖案設計	280	0
167	AS新品彩虹瓶光撩膠60色0130賣場甲油膠光撩指甲油美甲工具材料貓眼膠彩繪膠凝膠延長碎鑽膠C3-36	指甲油	44	0
